id,label,pageranks,twitter_score,audience_sw_apr_june24,Hard News,topic_niv1,clusters_legend,date_fusion,SPEL,CPPAP,ORG,PROPR,media_category,lrecon_23_mean,antielite_salience_23_mean,eu_position_23_mean,refugees_23_mean,galtan_23_mean
1,Bfmtv.com,0.019787,"48,17535702",237700000,TRUE,Actu,PQR - Sport - Météo,2005,TRUE,TRUE,CMA CGM|||,Rodolphe Saadé||||,Hyper-centre,5.696,5.459,5.48,6.948,5.456
2,Lemonde.fr,0.023539,"33,94791302",452200000,TRUE,Actu,Divers,1944,TRUE,TRUE,Groupe Le Monde|Le Monde libre||,Xavier Niel|Matthieu Pigasse|||,Centre,4.86,5.745,5.319,7.162,4.646
3,Leparisien.fr,0.018246,"33,92612425",146200000,TRUE,Actu_Locale,PQR - Sport - Météo,1944,TRUE,TRUE,Groupe Les Échos - Le Parisien|LVMH||,Bernard Arnault||||,Hyper-centre,5.391,5.679,5.274,6.956,5.244
4,Francetvinfo.fr,0.021746,"21,23225888",169400000,TRUE,Actu,Divers,2016,TRUE,TRUE,France Télévision|Radio France||,République française||||,Hyper-centre,4.968,6.032,4.939,6.886,4.972
5,Lefigaro.fr,0.016732,"27,84091109",425500000,TRUE,Actu,Droite - Extrême Droite,1826,TRUE,TRUE,Groupe Dassault|||,Famille Dassault||||,Hyper-centre,5.647,6.195,4.558,6.332,5.924
6,Liberation.fr,0.010819,"21,73751131",75000000,TRUE,Actu,Gauche - Extrême Gauche,1973,TRUE,TRUE,Fonds de Dotation pour une Presse Indépendante|Altice||,Patrick Drahi||||,Centre,4.574,6.131,4.901,7.025,4.573
7,Fdesouche.com,0.000529,"20,24840727",14620000,TRUE,Actu,Droite - Extrême Droite,2005,FALSE,FALSE,|||,||||,Identitarian,6.141,8.697,1.202,3.65,8.559
8,Mediapart.fr,0.009131,"18,63899338",24660000,TRUE,Actu,Gauche - Extrême Gauche,2008,TRUE,TRUE,|||,||||,Left Wing,4.102,6.712,4.364,6.933,4.318
9,Ouest-France.fr,0.01453,"5,607162671",271700000,TRUE,Actu_Locale,PQR - Sport - Météo,1944,TRUE,TRUE,|||,||||,Hyper-centre,5.176,5.611,5.401,7.09,4.946
10,Lepoint.fr,0.009606,"8,767427761",62140000,TRUE,Actu,Droite - Extrême Droite,1972,TRUE,TRUE,Groupe Sebdo-Le Point|Artémis||,François Pinault||||,Hyper-centre,5.582,6.127,4.669,6.441,5.796
11,Nouvelobs.com,0.007049,"8,550986452",25280000,TRUE,Actu,Gauche - Extrême Gauche,1964,TRUE,TRUE,Le Monde libre|Berlys Media|NJJ|,Madison Cox|Xavier Niel|||,Centre,4.777,6.088,4.906,6.935,4.793
12,Marianne.net,0.004548,"8,296187443",30660000,TRUE,Actu,Droite - Extrême Droite,1997,TRUE,TRUE,Czech Media Invest|||,Daniel Křetínský||||,Left Wing,5.283,6.693,3.987,6.114,5.876
13,Tf1Info.fr,0.00812,"5,206222724",103700000,TRUE,Actu,Divers,1994,TRUE,TRUE,Groupe TF1|Bouygues||,Famille Bouygues|Daniel Křetínský|||,NaN,5.406,6.199,4.62,6.482,5.635
14,Lesechos.fr,0.013165,"8,073565735",64680000,TRUE,Economie,Economique - Tech - Gaming,1908,TRUE,TRUE,Groupe Les Échos - Le Parisien|LVMH||,Bernard Arnault||||,Centre,5.539,5.384,5.624,7.101,5.196
15,Huffingtonpost.fr,0.006768,"7,987051439",62820000,TRUE,Actu,Lifestyle – Santé – TV,2005,TRUE,TRUE,Combat Solutions|Groupe Le Monde|Le Monde libre|,Matthieu Pigasse|Xavier Niel|||,Hyper-centre,4.925,6.253,4.675,6.732,5.079
16,Lejdd.fr,0.008689,"7,196939862",24420000,TRUE,Actu,Lifestyle – Santé – TV,1948,TRUE,TRUE,Lagardère News|Lagardère SA||,Arnaud Lagardère||||,Hyper-centre,5.136,5.648,5.353,7.117,4.926
17,Francebleu.fr,0.011694,"4,501002524",83270000,TRUE,Actu_Locale,PQR - Sport - Météo,2000,FALSE,FALSE,Radio France|||,République française||||,Hyper-centre,5.157,5.795,5.136,6.979,5.088
18,Valeursactuelles.com,0.001797,"6,839058514",12810000,TRUE,Actu,Droite - Extrême Droite,1966,TRUE,TRUE,Groupe Valmonde|Privinvest||,Akram Safa||||,Right Wing,6.236,7.858,2.281,4.464,7.953
19,Cnews.fr,0.004027,"6,406313441",82380000,TRUE,Actu,Extrême Droite - Réinformation,1999,TRUE,TRUE,Groupe Canal+|Vivendi||,Vincent Bolloré||||,PQR & Mag,5.782,7.184,3.263,5.368,6.86
20,Limportant.fr,0.00028,"6,253397511",169463,TRUE,Actu,Lifestyle – Santé – TV,2013,FALSE,FALSE,|||,||||,Centre,5.418,5.627,5.355,6.911,5.24
21,Actu.fr,0.006303,"6,034273119",161500000,TRUE,Actu,PQR - Sport - Météo,2017,TRUE,TRUE,|||,||||,PQR & Mag,5.239,5.851,5.049,6.889,5.225
22,Sudouest.fr,0.007746,"6,027519206",115300000,TRUE,Actu_Locale,PQR - Sport - Météo,1944,TRUE,TRUE,Groupe Sud Ouest France|||,Famille Lemoine||||,PQR & Mag,5.139,5.976,4.936,6.795,5.187
23,Francesoir.fr,0.001648,"5,61849818",4925000,TRUE,Actu,Extrême Droite - Réinformation,1944,TRUE,TRUE,|||,||||,Centre,5.703,8.292,1.815,4.377,7.572
24,20Minutes.fr,0.007997,"3,479741714",202000000,TRUE,Actu,Divers,2002,TRUE,TRUE,Groupe Rossel La Voix|Groupe Rossel||,Crédit Agricole|Famille Hurbain|||,Hyper-centre,5.118,6.223,4.652,6.614,5.311
25,Lequipe.fr,0.010717,"5,527846372",216900000,FALSE,Sport,PQR - Sport - Météo,1946,TRUE,FALSE,|||,||||,Hyper-centre,5.242,5.887,5.051,6.847,5.206
26,Lexpress.fr,0.006373,"5,469025209",31080000,TRUE,Actu,Droite - Extrême Droite,1953,TRUE,TRUE,|||,||||,Hyper-centre,5.487,5.864,5.025,6.73,5.492
27,Radiofrance.fr,0.002621,"0,135533092",56030000,TRUE,Actu,Economique - Tech - Gaming,1975,FALSE,FALSE,|||,||||,NaN,4.765,5.644,5.463,7.314,4.459
28,Planetes360.fr,0.00039,"5,265833884",1341000,TRUE,Actu,Extrême Droite - Réinformation,2016,FALSE,FALSE,|||,||||,Right Wing,5.726,8.439,1.626,4.203,7.728
31,Ladepeche.fr,0.008234,"4,809539973",153900000,TRUE,Actu_Locale,PQR - Sport - Météo,1870,TRUE,TRUE,Groupe La Dépêche|||,Famille Baylet||||,Hyper-centre,5.182,6.414,4.386,6.423,5.536
32,Midilibre.fr,0.006685,"4,476923734",109400000,TRUE,Actu_Locale,PQR - Sport - Météo,1944,TRUE,TRUE,Les Journaux du midi|Groupe La Dépêche||,Famille Baylet||||,PQR & Mag,5.2,6.634,4.099,6.207,5.729
33,Lemediaen442.fr,0.000407,"4,318523826",1787000,TRUE,Actu,Extrême Droite - Réinformation,2020,FALSE,FALSE,|||,||||,NaN,5.692,8.464,1.605,4.211,7.69
34,Lavoixdunord.fr,0.006467,"4,271892653",39850000,TRUE,Actu_Locale,PQR - Sport - Météo,1941,TRUE,TRUE,La Voix du Nord SA|Groupe Rossel La Voix||,Famille Hurbain|Crédit agricole|||,Hyper-centre,5.077,6.02,4.869,6.846,5.158
35,Lecourrier-Du-Soir.com,0.000354,"4,255672974",186772,TRUE,Actu,Extrême Droite - Réinformation,2014,FALSE,FALSE,|||,||||,Right Wing,5.556,8.224,1.976,4.572,7.332
36,Lecourrierdesstrateges.fr,0.000438,"4,168853112",680881,TRUE,Actu,Extrême Droite - Réinformation,2018,FALSE,FALSE,|||,||||,NaN,5.709,8.394,1.674,4.268,7.665
