source,text,created_at,retweet_count,favorite_count,is_retweet,id_str
Twitter for iPhone,.@NateSilver538  “The Trump 2016 Victory was the most shocking political development of my lifetime.” That’s only because you got it  so wrong. This time there is far more ENTHUSIASM even than 2016. Winning many States much more easily than people understand. BIG CROWDS!!!,10-11-2020 14:11:40,8615,35379,false,1315293995128573952
Twitter for iPhone,15 minutes to @MariaBartiromo interview. Enjoy!,10-11-2020 13:42:42,7813,40020,false,1315286705696579584
Twitter for iPhone,RT @MariaBartiromo: Tomorrow join me when i speak to @POTUS @realDonaldTrump #LIVE @SundayFutures @FoxNews 10am et #breakingnews #POTUS45 #…,10-11-2020 02:39:43,8972,0,true,1315119860783906816
Twitter for iPhone,FDR’s own party told him you cannot PACK the United States Supreme Court it would permanently destroy the Court. @judgejeanine @tedcruz But now the Radical Left Democrats are pushing Biden to do this. He has zero chance against them!,10-11-2020 01:45:29,23940,86643,false,1315106212543975425
Twitter for iPhone,https://t.co/BEzp7WEoV4,10-11-2020 01:39:59,12745,39890,false,1315104829363105793
Twitter for iPhone,https://t.co/HrEVCQtya1,10-11-2020 01:19:19,25727,66558,false,1315099628023492608
Twitter for iPhone,https://t.co/CMNUGJNgYJ,10-11-2020 01:05:01,27943,97770,false,1315096028492820481
Twitter for iPhone,Oklahoma we need @StephanieBice in Congress! She delivers for our Teachers &amp; Students and she will always protect your #2A &amp; Energy Jobs unlike her opponent who votes against our Oil &amp; Gas industry. Stephanie has my Complete and Total Endorsement! #OK05 https://t.co/RwhCrMFAYq,10-11-2020 00:47:31,10267,33335,false,1315091623907385344
Twitter for iPhone,Yvette Herrell (@Yvette4Congress) is a proven fighter for New Mexico! She strongly supports our Brave Law Enforcement Life and the Second Amendment. Strong on the Border and Trade Yvette has my Complete and Total Endorsement! #NM02 https://t.co/77hjYfVWAB,10-11-2020 00:47:26,8371,28514,false,1315091604496158720
Twitter for iPhone,We need @NancyMace in Congress to fight for the people of South Carolina! Strong on the Military Law Enforcement and our Veterans Nancy has been with me and our America First agenda since the beginning! Nancy has my Complete and Total Endorsement! #SC01 https://t.co/nNFy4Yt0MX,10-11-2020 00:47:07,11182,38814,false,1315091525941055488
Twitter for iPhone,We need Tiffany Shedd (@Tiffany_Shedd) in Congress to fight for the people of Arizona! She will be a tremendous ally and advocate for Arizona’s Farmers the Second Amendment and the Border. Tiffany has my Complete and Total Endorsement! #AZ01 https://t.co/qnpbEdPz8O,10-11-2020 00:47:01,9278,31218,false,1315091499823099909
Twitter for iPhone,Dale Crafts (@DaleCraftsME) will be a tremendous Congressman for Maine! An experienced businessman Dale knows how to Create Jobs. He loves our Vets &amp; Military and he will always defend your Second Amendment. Dale has my Complete &amp; Total Endorsement! #ME02 https://t.co/qwY6VafB57,10-11-2020 00:46:55,7971,26527,false,1315091474351087616
Twitter for iPhone,Ashley Hinson (@hinsonashley) will be a tremendous advocate for the People of Iowa! She will fight for our Military Vets Small Businesses &amp; our Incredible Farmers—a true supporter of our #MAGA Agenda! Ashley has my Complete and Total Endorsement! #IA01 https://t.co/CDBLsMEknS,10-11-2020 00:46:48,7858,26920,false,1315091443799789569
Twitter for iPhone,As the 1st President to formally recognize the issue of Missing &amp; Murdered Native Americans today I was proud to sign Savanna’s Act &amp; the Not Invisible Act. We have also provided $295 Million to support public safety &amp; crime victims. Forgotten NO MORE! #OperationLadyJustice,10-11-2020 00:45:54,42706,168375,false,1315091217533882368
